"","V1"
"97"," y los sindicatos firman un nuevo plan de igualdad que refuerza la transparencia en su política retributiva  compañía de supermercados físicos y de venta online ha firmado con los representantes de la unión general de trabajadores ugt y de comisiones obreras ccoo el nuevo plan de igualdad que entrará en vigor el  de enero de 2022 y que tendrá una vigencia de dos años hasta 2023 coincidiendo con la nueva renovación del convenio colectivoeste nuevo plan que refuerza el compromiso de la compañía por la transparencia en su política retributiva actualiza el vigente desde 2019 adaptándose así al reciente desarrollo normativo en materia de igualdad que pone el énfasis en el registro de los planes de igualdad y en el principio de igualdad retributiva que cuenta con un plan de igualdad ratificado por los representantes sindicales desde hace más de  años consolida con esta actualización su compromiso por unas relaciones laborales basadas en la igualdad y refuerza hechos conseguidos con el anterior plan como que en 2020 el  porcentaje  de los puestos directivos y el  porcentaje  de los del consejo de administración fueran mujeres o bien el hecho de que la equidad retributiva sea un valor irrenunciable en el modelo de la compañía que aplica desde 1997 y de manera transversal el principio de a igual responsabilidad mismo sueldo rosa enríquez miembro de la comisión de seguimiento del plan de igualdad por ugt desde ugt valoramos muy positivamente el acuerdo alcanzado en  para la actualización y adaptación del plan de igualdad se consolida el trabajo hecho durante estos últimos años por esta comisión garantizando una igualdad de oportunidades para todas las personas trabajadoras de la empresasilvia yankowich secretaria general de la sección sindical de ccoo considera que la transparencia es totalmente relevante en una apuesta decidida por la igualdad por lo que en  lo hemos abordado con el objetivo de adaptarnos a los nuevos tiempos y utilizando la perspectiva de género como la óptica con la que evaluar todos y cada uno de los factores que afectan a las condiciones laborales de la plantillapor su parte ruth garcía directora de relaciones laborales de  ha mostrado su satisfacción tras el acuerdo alcanzado y ha indicado que podemos sentir orgullo de la compañía de su modelo y de cómo éste se centra en la mejora continua de las relaciones laborales para seguir afianzando su compromiso con la equidad el empleo de calidad y el respeto a la diversidadimagen de cabecera trabajadores en la colmena de madrid de "
"98"," iniciará las obras de su futuro almacén para la venta online de sevilla en enero la gerencia de urbanismo del ayuntamiento de sevilla ha concedido a  empresa de supermercados físicos y de venta online licencia de obras para la construcción de un almacén exclusivo para la venta online con el que desarrollar su proyecto de compra a través de internet en sevilla este almacén al que la compañía denomina internamente colmena comenzará a construirse el próximo mes de enero y supondrá una inversión de  millones de euros la previsión de  es que inicie su actividad a finales de 2022 y una vez operativo dará servicio a la ciudad de sevilla y poblaciones limítrofes construirá su almacén exclusivo para la venta online sobre una parcela de  metros cuadrados en la zona de higuerón sur que fue adjudicada a la compañía en proceso de licitación pública por parte de la gerencia de urbanismo del ayuntamiento de sevilla por  millones de euros tiene en la actualidad tres centros de estas características sitos en valència barcelona y madrid este último inició su actividad en abril de 2020 en pleno confinamiento dado que la compañía ha intensificado su proceso de innovación digital para seguir conectada a las necesidades de los clientes en sevillala compañía con una plantilla con empleo estable y de calidad de  personas en la provincia de sevilla cuenta con  supermercados y un bloque logístico ubicado en el municipio de huévar el aljarafe donde  ha construido una nueva nave de pescado de  metros cuadrados que inició su actividad en noviembre la inversión de la compañía en la provincia ha superado los  millones de euros en 2021                                                                                    fachada de la primera colmena de  online en vara de quart valència"
"99","el comité de dirección de  acuerda incrementar un  porcentaje  el sueldo a la plantilla el comité de dirección de  empresa de supermercados físicos y de venta online ha acordado en coherencia con el modelo de calidad total de la compañía subir un  porcentaje  el sueldo de toda su plantilla para garantizar el poder adquisitivo de las más de  personas que tiene en españaesta medida se adopta dentro de un escenario complejo como el que se está viviendo y en el que todas las personas que forman parte de  son esenciales para adaptarse con agilidad y determinación porque ellos son el mejor activo de los clientes cuanto más satisfacen a el  eljefe  como internamente la compañía llama al cliente más avanza a partir de enero de este año el salario mínimo de entrada en  durante el primer año será de  euros brutos al mes es decir  euros  más al mes que en 2021una política de rrhh pionera en el sector lleva años impulsando una política de rrhh pionera en el sector que apuesta por la conciliación la formación y el desarrollo personal y profesional de cuantos componen su plantilla con este incremento salarial refuerza su apuesta por el empleo estable y de calidad que la compañía lleva a cabo desde hace más de  años cuando decidió iniciar el proceso de convertir en fijos a toda la plantillaimagen de cabecera nuria trabajadora del supermercado de av dr pascual parrilla de murcia murcia"
"100"," factura un  porcentaje  más hasta los  millones y reduce su beneficio un  porcentaje  por el impacto de los costes  empresa de supermercados físicos y de venta online ha incrementado en 2021 sus ventas consolidadas a superficie constante un  porcentaje  hasta los  millones de euros de este total  millones corresponden a las ventas de sus  tiendas en portugal país en el que la compañía tras dos años de presencia ha alcanzado una cuota de mercado del  porcentaje la compañía se ha enfrentado en estos doce meses especialmente desde el mes de abril a un contexto económico y social complejo en el que ha tenido que gestionar las distintas medidas de las diferentes administraciones en relación con la pandemia como las restricciones de movilidad y confinamientos así como un elevado incremento de los costes derivado del disparado crecimiento de las materias primas el transporte o los precios industrialesfrente a esta coyuntura inflacionista y para minimizar su impacto en los precios de venta  decidió no trasladar a sus clientes la totalidad de esas importantes subidas lo que ha generado un impacto negativo de  millones de euros en sus márgenes operativos que se ha traducido en una reducción del  porcentaje  en su beneficio neto que en 2021 ha sido de  millones de euros millones de euros de inversión y creación de  nuevos puestos de trabajo ha continuado avanzando en su brutal transformación para consolidar un modelo de empresa más digital productiva y sostenible para ello ha realizado un nuevo esfuerzo inversor durante este año de  millones de euros cifra que sumada a la inversión de los tres ejercicios anteriores supera los  millonescomo resultado de esta inversión la compañía ha finalizado 2021 con  supermercados  de ellos en portugal tras haber inaugurado  supermercados  de ellos en portugal y cerrado  tiendas que no se ajustaban a su nuevo modelo de tienda más eficiente y sostenible igualmente ha mantenido el proceso de renovación hasta finalizar el año con  supermercados del nuevo modelo de tienda eficiente tienda  la compañía también ha continuado con la implantación de la nueva sección listo para comer pronto a comer en portugal lo que le ha permitido finalizar el ejercicio con  tiendas con la nueva secciónademás de generar riqueza y actividad su compromiso inversor se ha materializado en la creación de  nuevos puestos de trabajo directos estables y de calidad que han elevado el total de la plantilla hasta las  personas  de ellas en portugalasimismo el comité de dirección acordó subir el sueldo del conjunto de dicha plantilla acorde a la subida del ipc un  porcentaje  en españa y un  porcentaje  en portugal con el objetivo de garantizar su poder adquisitivo y en coherencia con un modelo de empresa vigente desde hace  años y cuyas trabajadoras y trabajadores son el mejor activo de los clientes y esenciales para el crecimiento del proyecto el compromiso de la compañía con la generación de trabajos de calidad también se ha visto reflejado a lo largo del año a través de diferentes iniciativas así por ejemplo a lo largo de 2021 se ha seguido desarrollando una importante labor preventiva y formativa en materia de salud laboral factor que ha cobrado un protagonismo aún mayor en un contexto de pandemia con el objetivo de que la plantilla se sintiese sanitariamente protegida y segura con este mismo objetivo se ha reforzado el servicio telefónico 3c call center covid formado por  profesionales entre sanitarios y médicos que han ofrecido atención las  horas del día y los  días de la semana llegando a recibir en el momento más complicado de la sexta ola en que un  porcentaje  de la plantilla se contagió hasta  llamadas al díaotra muestra de este compromiso es la incorporación de nuevas aplicaciones tecnológicas para facilitar la conciliación laboral y familiar en este sentido la aplicación móvil de uso interno activo2 se ha consolidado en 2021 como uno de los principales canales de comunicación interna que ha permitido no sólo mantener informado al conjunto de la plantilla sino también recoger sus opiniones para seguir consolidando  como un proyecto diferencial al incorporar buena parte de las aportaciones recibidas a través de esta herramienta colaborativaavanzar en la transformación digital y sostenibilidad ha logrado en 2021 consolidar su servicio de compra online colmenas y telecompra y elevar sus ventas hasta los  millones de euros cifra que representa un crecimiento del  porcentaje  respecto al año anterior asimismo  online colmenas ha incrementado su número de pedidos hasta los  frente a los  millones de 2020 y ha cerrado el año con un equipo de  personas para poder contar con la confianza de los  eljefe  clientes que realizan sus compras a través de este canal  contaba al cierre del año con tres colmenas almacenes exclusivos para la venta online ubicadas en barcelona madrid y valencia a las que prevé incorporar en 2022 dos nuevas una en alicante y otra en sevillapara seguir impulsando su sostenibilidad y su sí a seguir cuidando el planeta  ha invertido más de  millones de euros en diferentes iniciativas y medidas encaminadas para potenciar un impacto más positivo y sostenible en todas sus acciones en este contexto la compañía ha continuado fortaleciendo su estrategia  que destina una inversión de  millones de euros hasta 2025 para conseguir el triple objetivo de reducir un   de plástico lograr que todos los envases sean reciclables y reciclar todo el residuo de plástico y ha finalizado la implantación en toda la cadena de la tienda  donde se informa y forma a el  eljefe  y a los trabajadores en la gestión de residuosasimismo a través de aenor  ha verificado el impacto de su huella de carbono tras calcular tanto sus emisiones directas como las indirectas por consumo eléctrico introducido nuevas medidas sostenibles de descarbonización como la renovación de la flota con combustibles alternativos la incorporación de placas solares en algunas de sus instalaciones o el cambio de gases refrigerantes en los equiposconsciente del impacto social que el covid está generando así como de sus consecuencias sociales y económicas ha incrementado en un  porcentaje  las donaciones de productos de primera necesidad a comedores sociales bancos de alimentos y otras entidades benéficas con las que colabora llegando a las  toneladas donadas de las cuales  se han repartido en españa y  en portugal además como muestra de su solidaridad con la isla de la palma desde el primer día de la erupción  puso a su disposición  toneladas de alimentos y  millón de mascarillasuna inversión de  millones de euros en 2022 y  nuevos puestos de trabajo tiene previsto invertir  millones en 2022 para seguir impulsando su plan estratégico de transformación estos recursos se destinarán principalmente a la apertura de  nuevos supermercados  en españa y  portugal a la reforma de  supermercados para adecuarlos al nuevo modelo de tienda eficiente tienda  y a la implantación de la nueva sección de listo para comerpronto a comer a otros  supermercados para todo ello la compañía creará más de  puestos de trabajo estable y de calidad en 2022 entre españa y portugalel año 2022 está siendo muy difícil el escenario inflacionista actual se está reflejando en la compañía y va a suponer un incremento en nuestros gastos de más de  millones de euros para minimizar este impacto  seguirá apostando por la productividad y eficiencia en cada uno de los procesos para ser cada vez más competitivos un ejemplo de esta estrategia es la retirada del logotipo de la mascarilla corporativa iniciativa que por sí sola genera un ahorro de  euros al añoel presidente de  juan roig ha manifestado que en 2022 nuestro plan de inversión continua seguro que va a seguir siendo un año muy muy difícil que vamos a superar aplicando nuestro modelo de calidad total que es nuestro faro para navegar por este escenario de incertidumbre que estamos viviendo estoy seguro de que con el esfuerzo individual y colectivo de los  vamos a conseguir las metas que nos hemos marcadoproyecto legado juan roig y hortensia herreroun año más tanto juan roig como la vicepresidenta de  hortensia herrero han reforzado su compromiso con la sociedad al decidir reinvertir en ella una parte importante de los dividendos provenientes de su participación en la compañía y de su patrimonio personal en total ambos han destinado  millones de euros en 2021 a diferentes iniciativas emprendimiento formación deporte entretenimiento arte y cultura que han canalizado a través del proyecto legadoeste compromiso que se inició hace más de una década y que en 2022 seguirá impulsándose con otros  millones de euros de su patrimonio personal nace del convencimiento por parte de ambos de que el conocimiento y el dinero dan la felicidad si los compartes y en su caso a través de distintos proyectos sostenibles y solidarios como son marina de empresas fundación trinidad alfonso valencia basket club lalqueria del basket licampa  casal españa arena de valència y fundación hortensia herrerojuan roig presidente de  tras la celebración de la rueda de prensa 2021juan roig presidente de  tras la celebración de la rueda de prensa 2021juan roig y miembros del comité de dirección de  tras la celebración de la rueda de prensa 2021  memoria anual 2021descargar"
"101"," dona  millones de euros para ayudar a los refugiados por la guerra de ucrania  como muestra de apoyo y solidaridad con el pueblo ucraniano dona  millones de euros para ayudar a los refugiados por la guerra de ucrania esta ayuda se materializará de junio a diciembre en tarjetas sociedad de  euros  cada una con el objetivo de ayudar a cubrir los gastos básicos de los refugiados que llegan a españa y portugal en cualquiera de nuestras tiendas a través de esta colaboración se prevé poder ayudar a cerca de  personas refugiadasla compañía hará entrega de estas tarjetas a través de las entidades autorizadas dentro de los planes oficiales de acogida de personas desplazadas de ucrania en españa y portugal  asimismo esta ayuda se complementará con donaciones de productos de primera necesidad a los centros de recepción atención y derivación creade de refugiados ucranianos ubicados en distintos puntos de españa según las necesidades que desde dichos espacios vayan trasladando a la compañía  "
"102"," sigue apostando por la venta online con la apertura de su cuarta colmena en alicante  inaugura hoy su cuarta colmena almacén exclusivo para la venta online en la ciudad de alicante en ella se han invertido más de  millones de euros y se espera contar con una plantilla de  personas la compañía iniciará el nuevo servicio en la zona centro de alicante e irá ampliando su radio de acción en las próximas semanas hasta llegar a gran parte de la provincia y a la ciudad de murcia con la apertura de esta nueva colmena de  en alicante la compañía estima llegar a los  millones en pedidos online anualestodos los clientes de las zonas de reparto en el radio de acción de las colmenas tienen acceso a la nueva web y app para realizar su compra pudiendo recibirla de  a  de lunes a sábado  tiene distintos modelos de venta en base a la demanda de los pedidos que hay en cada población si bien todos los clientes de estas zonas disfrutan de la misma experiencia de compra por un lado el modelo colmenas atiende a zonas con una alta densidad de pedidos online la colmena de alicante se suma a las otras tres que la compañía tiene operativas en otras ciudades como la de valència en marcha desde 2018 la de barcelona desde 2019 y la de madrid desde 2020 a ellas habrá que sumar la quinta colmena de sevilla que está prevista que abra a lo largo del segundo semestre de este añopor otro lado también se está desarrollando para las zonas de menor concentración de pedidos un nuevo modelo de preparación y reparto desde las tiendas físicas por ahora este modelo está en marcha en parte de castellón y tarragona y está previsto seguir expandiéndolo en más tiendas con el objetivo de hacer llegar la nueva compra online al resto de ciudadesel equipo de  online lo forman  personas con empleo estable y de calidad en su mayoría pickers y repartidores se han invertido más de  millones de euros en la construcción de las cuatro colmenas actuales y  millones de euros en una flota de camiones propios en 2021 ha incrementado sus ventas hasta los  millones de euros un  porcentaje  más que en 2020 según juana roig directora general de  online con la apertura de nuestra cuarta colmena en alicante damos un paso más en nuestra visión de satisfacer a nuestros clientes online en toda españa y portugal una vez conseguido el reto de alcanzar la rentabilidad hoy en día nos enfrentamos al de la expansión para ello el uso de la tecnología es vital de hecho a principios de este mes se abrieron nuevas oficinas de  para el proyecto online en madrid con las que se busca incorporar talento al equipo tecnológico ampliando el acceso a dichos perfilesimagen de cabecera interior cuarta colmena de  en alicante"
"103"," lanza su nueva compra online en murcia  ha lanzado el nuevo servicio online en la ciudad de murcia y en poblaciones de los municipios de molina de segura y santomera los pedidos se prepararán y enviarán a sus clientes desde la colmena como internamente la compañía denomina a los almacenes destinados al servicio onlinetodos los clientes de estas zonas pueden realizar su compra a través de la nueva página web y aplicación móvil de forma mucho más intuitiva pudiendo localizar los productos a través de las categorías o del buscador el cliente dispone de fotos de cada producto y toda la información relevanteeste nuevo modelo mantiene la misma tarifa que el servicio anterior  euros pedido y amplía el horario de entrega de  a  horas de lunes a sábado en tramos de  horas a partir del día siguiente de haber hecho el pedido además el cliente puede modificar su compra hasta la noche del día anterior a su entregala colmena tiene una superficie de  m2 de los cuales  m2 están destinados a productos frescos incluyendo un área de almacenamiento en frío para productos refrigerados y congelados los clientes online pueden encontrar los mismos productos que en su tienda física y además los productos frescos se reciben y preparan el mismo día de entrega por lo que se garantiza la máxima calidad y frescuraesta colmena es la cuarta que inaugura  tras la puesta en marcha de la de valència en 2018 la de barcelona en 2019 y la de madrid en 2020 en  online  trabajan un total de  personas con empleo estable y de calidad además la compañía prevé abrir su quinta colmena en sevilla a finales de año también ha desarrollado un nuevo modelo de preparación y envío de pedidos desde las tiendas físicas para zonas de menor concentración de venta online actualmente este modelo está implantado en castellón y tarragona y durante el otoño la compañía prevé extenderlo a cartagena de esta manera los clientes de esa zona también podrán comprar desde la nueva app y web disfrutando del nuevo servicio online con todas sus ventajassostenibilidad y eficiencia cuenta en esta colmena con  vehículos con etiqueta ambiental eco tanto microhíbridos como a gas que pueden transportar hasta  pedidos estos han sido diseñados exclusivamente con  zonas de temperatura adaptadas a cada tipo de producto temperatura ambiente refrigerado y congelado garantizando la cadena de frío hasta la entrega en casa del cliente además incorporan un sistema de descarga mecanizado que minimiza la manipulación de la carga con la reducción consiguiente de sobreesfuerzos para los trabajadores y la disminución del tiempo de descargapor otro lado a lo largo de la superficie de su cubierta se han instalado  paneles fotovoltaicos con ellos la colmena se autoabastece en su consumo de energía diario se incluyen mejoras en las instalaciones como optimizaciones de los pasillos para que los recorridos de los trabajadores se realicen en menos pasos adicionalmente se ha diseñado la entrada y salida de vehículos de forma eficiente y se dispone de dos muelles de tráiler mejorando el proceso de aprovisionamiento en la región de murcia cuenta con  supermercados en la región de murcia que proporcionan empleo estable y de calidad a  personas muestra de su apuesta por la región de murcia son los más de  millones de euros en compras a proveedores murcianos realizados en 2021además uno de los compromisos que  mantiene con la sociedad es compartir parte de cuanto recibe de ella  ha reforzado a lo largo del año pasado su responsabilidad social en la región por medio de diferentes iniciativas con más de  toneladas de alimentos donados a entidades sociales murcianas es el caso de las que realiza con los  comedores sociales con los que trabaja en la región de murcia a los que dona diariamente productos de primera necesidad y a entidades como el banco de alimentos del segura entre otrasnuevo servicio online de  en murciaservicio  online en reparto en murciaimagen de cabecera exterior cuarta colmena de  en alicante"
"104"," invierte más de  millones de euros en la optimización y modernización de su nave para frescos del bloque logístico de ribaroja del túria valencia  compañía de supermercados físicos y de venta online invierte más de  m en la optimización y modernización de su nave para frescos del bloque logístico ubicado en ribaroja del túria valencia la compañía que prevé iniciar las obras a lo largo del primer semestre de 2023 contará con la colaboración de más de  proveedores de obra que darán empleo a unas  personas durante la construcciónlos cambios previstos supondrán una mejora tanto de los procesos e instalaciones como de los puestos de trabajo en concreto el tamaño de la nave se incrementará aumentando la eficiencia y la capacidad productiva pasando de  m2 a  m2 se mejorarán las zonas comunes y se instalará el sistema de preparación automático conocido como ppg picking puente grúa que supondrá minimizar los sobreesfuerzos a las trabajadoras y trabajadores además como parte del respeto de la compañía por el medio ambiente se instalarán  placas solares en la cubierta de la nave lo que supondrá que un  porcentaje  del consumo total del bloque funcionará con energía renovabledurante los más de dos años que está prevista que dure la reforma de esta nave de frío que asumirá de forma definitiva una vez esté operativa la producción que se desarrolla en el almacén que la compañía tiene en paterna valencia supone la recolocación temporal de parte de sus trabajadores a otras áreas de la compañía en especial al bloque logístico ubicado en parc sagunt valencia desde donde además se asumirá de forma temporal la producción del almacén de ribaroja del túria y la del de paterna  una red logística de calidadpara poder dar un servicio óptimo y garantizar la eficiencia en su actividad  dispone de una red de distribución de calidad más de  millones de metros cuadrados que la compañía optimiza para fabricar más con menos recursos a través de procesos y estrategias que persiguen el equilibrio entre la eficiencia ambiental y la económica que reducen el impacto en el entorno y en las ciudades y al mismo tiempo minimizan a través de protocolos responsables y de su compromiso con la innovación y la tecnología vanguardista la repercusión en cada zona y barrio en los que tiene presenciala red logística de  está compuesta por un total de  bloques logísticos operativos  almacenes satélites y  almacenes reguladores desde ella  abastece a los más de  supermercados que tiene tanto en españa como en portugal liderada por un equipo de  profesionales cuyo esfuerzo implicación y adaptación constante permiten dar respuesta a las necesidades de los  eljefe  clientesimagen aérea del bloque logístico de ribaroja del túria valencia"
"105"," acelera la reducción de plástico desde hace dos años a través de su estrategia   fiel a su compromiso sí a seguir cuidando el planeta además de reforzar sus sistemas ya consolidados de reutilización y reciclaje de envases comerciales desarrolla la estrategia  para la reducción del plástico y la adecuada gestión de sus residuosla estrategia consta de seis acciones concretas para conseguir en 2025 un triple objetivo reducir un  porcentaje  de plástico en sus envases que todos los envases de plástico sean reciclables y reciclar todo el residuo plástico generado en sus procesoscon este objetivo la compañía ya ha eliminado las bolsas de plástico de un solo uso en todas las secciones que ha sustituido por bolsas compostables de origen vegetal 200tnaño así como ha eliminado los productos desechables de plástico de un solo uso que ha sustituido por menaje sostenible fabricado con materiales más respetuosos con el medio ambiente 000tnaño  y sus proveedores también están mejorando la reciclabilidad de los envases como sucede con la familia de papillas de fruta variada ahora con envase monomaterial reciclable o las patatas bravas donde se ha sustituido la base negra del envase por otra transparente que facilita la detección óptica en la planta de selección una vez depositada en el contenedor amarillo paso previo a su reciclado está inmersa en la reducción de plástico en los envases de marca propia a través de diferentes estrategias como la eliminación del plástico que no aporta valor la sustitución por otros materiales siempre que no afecte a la calidad y seguridad alimentaria la reducción la reutilización o la incorporación de material reciclado en su composición para disminuir el uso de materiales vírgenes y fomentar la economía circularademás la compañía sigue mejorando progresivamente la información que proporciona en los envases sobre reciclaje pictogramas con el objetivo de ayudar a sus clientes a separar residuos correctamente para su posterior reciclado tanto en las tiendas como en los hogaresla empresa está impulsando cambios en busca de opciones más sostenibles e innovadoras en su apuesta por fomentar la economía circular y la reutilización de los materiales y recursos algunos de los ejemplos más recientes son el aceite virgen extra en spray donde se ha eliminado el sleever de plástico 65tnaño la familia completa de pizzas en formato doble a cuyos envases se ha aplicado una reducción de un  porcentaje  de plástico 170tnaño otros ejemplos son aquellos en los que se ha sustituido el plástico por otros materiales como es el caso de la salsa thai chili que cambia de envase de plástico a vidrio 33tnaño del mismo modo que la crema de avellanacacao 97tnaño y las mayonesas 774tnaño o el caso de los ambientadores de coche que cambian de plástico a cartón 27tnañootra estrategia de la compañía para reducir el uso de plástico virgen es la incorporación de plástico reciclado en los envases dando así una segunda vida a las materias primas ejemplo de ellos es el papel de cocina o el papel higiénico en cuya bolsa se ha incorporado un  porcentaje  de plástico reciclado 174tnaño y 421tnaño respectivamenteademás la compañía apuesta por la reutilización de envases a través de refills como el jabón de manos y las cremas faciales regen y prevent evitando de este modo el uso de 90tn de plástico virgenejemplos de la reducción de plástico que  está llevando a cabo en sus envasesla compañía invertirá más de  millones de euros en la estrategia  un refuerzo de su compromiso de seguir cuidando el planetaen los dos últimos años la compañía ha trabajado intensamente para alcanzar las dos primeras acciones de la estrategia y cumplir con el compromiso de convertir todos sus centros en tiendas  en menos de un año lo que ha supuesto una inversión de  millones de eurosel desarrollo de la estrategia  conlleva modificaciones en diferentes procesos de la compañía desde el rediseño de los envases del futuro en coordinación con los proveedores a la adaptación de las tiendas y la logística el proceso de gestión de residuos etc se trata de un plan ambicioso transversal a todas las áreas de la compañía por lo que  prevé invertir más de  millones de euros hasta 2025 para llevar a cabo todos los movimientos transformó el pasado año todas sus tiendas al modelo tienda  que ofrece a los  eljefe  nuevas bolsas de sección pictogramas indicativos en los envases para facilitar la correcta separación papeleras para reciclar en las secciones en las entradas y en la sección de listo para comer además para este nuevo modelo se ha mejorado el sistema de gestión de residuos y se ha ampliado con la recogida de capsulas de cafécabe destacar el esfuerzo de la compañía por desarrollar una correcta gestión de los residuos que se generan en las tiendas gracias a la logística inversa y a su modelo de gestión de envases comerciales  recicla el film plástico y lo reutiliza en parte para elaborar las bolsas reutilizables de compra evitando así el uso de más de  toneladas al año de materiales de un solo usolos sistemas de reutilización y reciclaje ya consolidados en la empresa sus estrategias de prevención del desperdicio alimentario y redistribución de excedentes y la estrategia  hacen que  recupere anualmente más de  toneladas de materiales reciclables que pasan a ser de nuevo materias primas en ciclos productivos y permiten avanzar de forma eficiente y en colaboración con los  eljefe  hacia la economía circularla cadena comenzó a trabajar en la estrategia  en 2019 implicando a todos los trabajadores de la empresa en el reto de seguir cuidando el planeta y haciendo más sostenibles diferentes procesos de la cadena de montaje en este sentido la empresa cuenta con un equipo de trabajo que coordina todas las áreas de actuación de la estrategia y está formado por trabajadores y trabajadoras de los diferentes procesos de la compañía como tiendas compras prescripción informática logística jurídico financiero relaciones externas y obras facilita información sobre la estrategia  en la sección cuidemos el planeta de su web donde además los clientes encontrarán contenidos sobre reciclaje sostenibilidad y el compromiso medioambiental de  también visible en la memoria de medio ambiente de la compañía"
"106"," online alcanza los  trabajadores y prevé facturar  millones de euros en 2022  inaugura su quinta colmena plataforma exclusiva para la venta online en la ciudad de sevilla en ella se han invertido  millones de euros cifra que incluye la adquisición de la parcela en licitación pública y arranca con una plantilla de  personas de esta manera  online alcanza los  trabajadores y prevé facturar a través del canal online  millones de euros en 2022la compañía iniciará el nuevo servicio en la zona centro de sevilla e irá ampliando su radio de acción en las próximas semanas hasta llegar a gran parte de la provincia parte de huelva y jerez de la frontera cádizsegún juana roig directora general de  online estamos muy satisfechos de llegar cada día a más  eljefe  online en este caso en el mercado andaluz gracias a nuestra colmena de sevilla la expansión y la rentabilidad del canal online son los dos retos principales a los que nos enfrentamos tiene distintos modelos de venta en base a la demanda de los pedidos que hay en cada población por un lado el modelo colmenas atiende a zonas con una alta densidad de pedidos online la colmena de sevilla se suma a las otras cuatro que la compañía tiene operativas en otras ciudades como la de valència barcelona madrid y alicante por otro lado para las zonas de menor concentración de pedidos cuenta con un modelo de preparación y reparto desde las tiendas por ahora este modelo está en marcha en varias provincias de españa como castellón lérida gerona almería o murcia contando con  tiendas antes de final de año se prevé que los próximos años se continúe su expansión con el objetivo de hacer llegar la nueva compra online a la mayoría de provincias de españatodos los clientes que vivan en zonas en el radio de acción de estas tiendas y colmenas tienen acceso a la nueva e intuitiva tienda online a través de la web o la app con envíos de  a  de lunes a sábadoel equipo de  online todos con empleo estable y de calidad lo forman en su mayoría pickers y repartidores se han invertido más de  millones de euros en la construcción de las cinco colmenas actuales y  millones de euros en una flota de  camiones propios ecoexterior colmena  online en sevillatrabajador de  online preparando pedidos onlineinterior colmena sevilla de  onlinevehículos reparto saliendo desde la colmena sevillaimagen de cabecera vehículos reparto saliendo desde la colmena sevilla"
"107","la nueva compra online de  llega a huelva  ha lanzado hoy el nuevo servicio de compra online en huelva los pedidos se prepararán y enviarán a sus clientes desde la colmena como internamente la compañía denomina a las plataformas destinadas al servicio onlinedesde esta colmena ubicada en la zona de higuerón sur en sevilla se comenzará dando servicio en el caso de huelva a la capital aljaraque incluidas corrales y bellavista punta umbría y palos de la frontera incluida la rábida esta colmena da servicio desde hace una semanas en sevilla y próximamente lo hará en jerez de la frontera cádizde esta forma todos los clientes online de esta zona pueden realizar ya su compra de forma intuitiva a través de la nueva web y app permitiendo localizar los productos a través de categorías o haciendo uso de un buscador el cliente dispondrá de fotos de cada producto con toda la información relevante relativa al mismoeste nuevo modelo mantiene la misma tarifa que el servicio anterior  pedido y amplía el horario de entrega de  a  horas de lunes a sábado en tramos de  horas a partir del día siguiente de haber hecho el pedido además el cliente puede modificar su compra hasta la noche del día anterior a su entregainversión de  millones de euroseste nuevo centro de distribución ha supuesto una inversión total de  millones de euros cifra que incluye la adquisición de la parcela en licitación pública y sobre una parcela de  m2 tiene una superficie de  m2 de los cuales  m2 están destinados a productos frescos incluyendo un área de almacenamiento en frío para productos refrigerados y congelados los productos frescos se reciben y preparan el mismo día de entrega al cliente online por lo que se garantiza la máxima calidad y frescurasostenibilidad y eficiencia cuenta en la colmena de sevilla con  vehículos con etiqueta ambiental eco todos microhíbridos que pueden transportar hasta  pedidos estos han sido diseñados exclusivamente con  zonas de temperatura adaptadas a cada tipo de producto temperatura ambiente refrigerado y congelado además incorporan un sistema de descarga mecanizado que minimiza la manipulación de la carga con la reducción consiguiente de sobreesfuerzos para los trabajadores y la disminución del tiempo de descargapor otro lado a lo largo de la superficie de su cubierta se han instalado  paneles fotovoltaicos con ellos la colmena se autoabastece en su consumo de energía diario se incluyen mejoras en las instalaciones como optimizaciones de los pasillos para que los recorridos de los trabajadores se realicen en menos pasos adicionalmente se ha diseñado la entrada y salida de vehículos de forma eficiente y se dispone de  muelles de tráiler mejorando el proceso de aprovisionamiento en la provincia de huelva cuenta con  supermercados en huelva capital y provincia de los que  ya responden al nuevo modelo de tienda eficiente y una plantilla total que supera las  personas con empleo estable y de calidad las compras a proveedores de la provincia superaron los  millones de euros en el último ejercicioademás uno de los compromisos que  mantiene con la sociedad es compartir parte de cuanto recibe de ella por lo que ha reforzado a lo largo del año su responsabilidad social en la provincia de huelva por medio de diferentes iniciativas con más de  toneladas de alimentos donados a entidades socialesexterior de la colmena de trabajador de  online preparando pedidos onlineinterior de la colmena de furgoneta de reparto saliendo desde la colmenaimagen de cabecera trabajador de  online preparando pedidos online"
